,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
1,-122.23,37.88,41,-0.8034274082,129,322,126,8.3252,4,6.9841269841,0.1465909091,1.8192090395,452600
2,-122.22,37.86,21,2.0459847021,1106,2401,1138,8.3014,4,6.2381370826,0.1557965911,3.362745098,358500
4,-122.25,37.85,52,-0.622905078,235,558,219,5.6431,4,5.8173515982,0.1844583987,1.3880597015,341300
5,-122.25,37.85,52,-0.4611680664,280,565,259,3.8462,4,6.2818532819,0.172095882,1.2072649573,342200
6,-122.25,37.85,52,-0.7855584466,213,413,193,4.0368,4,4.7616580311,0.231773667,1.5018181818,269700
7,-122.25,37.84,52,-0.0451419857,489,1094,514,3.6591,4,4.9319066148,0.1928994083,2.7556675063,299200
8,-122.25,37.84,52,0.2155615825,687,1157,647,3.12,4,4.7975270479,0.2213273196,3.0608465608,241400
9,-122.26,37.84,42,-0.0359784156,665,1206,595,2.0804,4,4.2941176471,0.2602739726,4.843373494,226700
12,-122.26,37.85,52,0.3983748052,752,1504,734,3.2705,4,4.772479564,0.2146731373,7.595959596,241800
14,-122.26,37.84,52,-0.8877322527,191,345,174,2.6736,4,4,0.2744252874,0.9031413613,191300
15,-122.26,37.85,52,0.0043412926,626,1212,620,1.9167,4,4.2629032258,0.2368520621,2.7671232877,159200
16,-122.26,37.85,50,-0.6934645674,283,697,264,2.125,4,4.2424242424,0.2526785714,1.7425,140000
17,-122.27,37.85,52,-0.3058455539,347,793,331,2.775,4,5.9395770393,0.1765005086,4.2406417112,152500
18,-122.27,37.85,52,-0.6439812891,293,648,303,2.1202,4,4.0528052805,0.2385993485,1.9518072289,155500
19,-122.26,37.84,50,-0.1807628226,455,990,419,1.9911,4,5.3436754177,0.2032157213,1.620294599,158700
21,-122.27,37.85,40,-0.8625324351,184,409,166,1.3578,4,4.5240963855,0.2450066578,2.6907894737,147500
22,-122.27,37.85,42,-0.4556699244,367,929,366,1.7135,4,4.4781420765,0.2239170226,6.984962406,159800
23,-122.27,37.84,52,-0.0905016575,541,1015,478,1.725,4,5.0962343096,0.2220853859,4.9033816425,113900
24,-122.27,37.84,52,-0.4332191777,337,853,325,2.1806,4,5.1938461538,0.1996445498,9.8045977011,99700
25,-122.27,37.84,52,-0.1876355001,437,1006,422,2.6,4,5.2701421801,0.1964928058,2.7790055249,132600
26,-122.28,37.85,41,-0.9614989917,123,317,119,2.4038,4,4.4957983193,0.2299065421,0.1364614722,107500
27,-122.28,37.85,49,-0.6888827824,244,607,239,2.4597,4,4.7280334728,0.2159292035,6.6703296703,93800
29,-122.28,37.84,50,-0.2526968475,492,1131,473,1.6424,4,4.4016913319,0.2363112392,4.6352459016,108900
30,-122.28,37.84,52,-0.8726123621,160,395,155,1.6875,4,4.7032258065,0.219478738,0.8662280702,132000
32,-122.28,37.84,52,-0.2201661738,481,1168,441,1.9615,4,4.8820861678,0.2234091965,1.4563591022,115200
33,-122.27,37.84,48,-0.326005408,409,1026,335,1.7969,4,5.7373134328,0.2127991675,2.1154639175,110400
34,-122.27,37.83,49,-0.4483390683,366,754,329,1.375,4,5.0303951368,0.2211480363,1.1529051988,104900
