,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,rooms_per_household,bedrooms_per_room,population_per_household,median_house_value
3,-122.24,37.85,52,-0.5407130661,190,496,177,7.2574,4,8.2881355932,0.1295160191,2.802259887,352100
10,-122.25,37.84,52,0.4151706587,707,1551,714,3.6912,4,4.9705882353,0.1992110454,2.1722689076,261100
11,-122.26,37.85,52,-0.2032613189,434,910,402,3.2031,4,5.4776119403,0.1970935513,2.263681592,281500
13,-122.26,37.85,52,-0.0705762101,474,1098,468,3.075,4,5.3226495726,0.1902850261,2.3461538462,213500
20,-122.27,37.84,52,-0.5241848172,298,690,275,2.6033,4,5.4654545455,0.1982701264,2.5090909091,162900
28,-122.28,37.85,52,-0.342833198,421,1102,397,1.808,4,4.7808564232,0.2218124341,2.7758186398,105500
31,-122.28,37.84,49,-0.3345690735,447,863,378,1.9274,4,5.0687830688,0.2332985386,2.2830687831,122300
42,-122.26,37.83,51,-0.7845047365,311,517,249,1.2852,4,3.7590361446,0.3322649573,2.0763052209,150000
44,-122.26,37.84,52,-0.7780770842,202,467,198,3.9643,4,4.797979798,0.2126315789,2.3585858586,188800
46,-122.26,37.83,52,-0.4539397596,420,718,382,2.6768,4,4.335078534,0.2536231884,1.8795811518,182300
51,-122.27,37.82,21,-0.8028694574,453,735,438,0.9218,4,2.0456621005,0.5055803571,1.6780821918,171900
54,-122.27,37.82,52,-0.4658768282,456,1162,400,1.2475,4,4.075,0.2797546012,2.905,104200
66,-122.3,37.81,52,-0.7505300028,209,604,187,1.1667,4,5.4010695187,0.2069306931,3.2299465241,78400
67,-122.3,37.81,48,-0.5462224823,354,788,332,0.8056,4,4.3825301205,0.2432989691,2.3734939759,84400
70,-122.29,37.81,46,0.0717503772,644,1823,611,0.9802,4,4.5842880524,0.2299178865,2.9836333879,129200
73,-122.29,37.81,49,-0.8267435946,204,560,152,1.75,4,5.5526315789,0.2417061611,3.6842105263,75000
75,-122.29,37.81,20,-0.8308756569,161,290,133,2.483,4,6.2781954887,0.1928143713,2.1804511278,137500
78,-122.28,37.81,19,-0.6600837521,243,721,207,1.1111,4,5.8309178744,0.2013256007,3.4830917874,108300
83,-122.28,37.81,52,-1.0581390784,97,200,87,1.5208,4,3.908045977,0.2852941176,2.2988505747,112500
91,-122.27,37.8,16,-0.7578758911,392,800,362,2.0938,4,2.7458563536,0.3943661972,2.2099447514,162500
96,-122.26,37.8,36,1.2324007404,2477,3469,2323,2.0096,4,2.2940163582,0.4648151623,1.4933275936,130000
98,-122.26,37.81,29,-1.0604346686,107,202,91,2.0062,4,3.6813186813,0.3194029851,2.2197802198,125000
106,-122.24,37.82,52,-0.5214301091,225,674,244,4.9306,4,6.1844262295,0.1491053678,2.762295082,313400
107,-122.24,37.81,52,-0.284066091,482,709,456,3.2727,4,4.4429824561,0.2379072063,1.5548245614,268500
110,-122.25,37.82,28,0.3178376377,855,1520,802,3.9063,4,4.1608478803,0.25621816,1.8952618454,225000
120,-122.23,37.84,47,0.2434605179,454,1098,485,5.2868,4,6.5463917526,0.142992126,2.2639175258,347600
129,-122.21,37.83,40,1.0772188484,674,1616,654,7.5544,4,7.6314984709,0.1350430775,2.4709480122,411500
131,-122.21,37.84,34,0.1805613487,490,1140,496,7.0548,4,6.125,0.1612903226,2.2983870968,325900
136,-122.2,37.83,26,-0.4847006672,223,542,211,8.401,4,7.5308056872,0.1403398364,2.5687203791,351200
140,-122.2,37.82,39,0.5166357419,534,1265,500,6.3302,4,7.54,0.1416445623,2.53,362800
144,-122.21,37.8,50,0.0864421539,605,1260,552,2.8929,4,5.1322463768,0.2135545358,2.2826086957,216700
145,-122.21,37.8,38,-0.1793871816,535,951,487,3.0812,4,4.6283367556,0.2373558119,1.9527720739,233100
147,-122.22,37.81,52,-0.3093175823,335,765,308,6.5217,4,6.3993506494,0.169964485,2.4837662338,273700
148,-122.22,37.8,52,-0.2119845613,465,1129,460,3.2632,4,4.7456521739,0.2130096198,2.4543478261,227700
150,-122.22,37.8,52,0.0350209353,541,1185,515,4.5428,4,5.2834951456,0.1988239618,2.3009708738,239800
155,-122.22,37.81,52,0.1295992481,402,1021,380,8.1564,4,7.7026315789,0.1373419884,2.6868421053,390100
156,-122.23,37.81,52,-0.1513809822,292,861,258,8.8793,4,8.9728682171,0.1261339093,3.3372093023,410300
157,-122.24,37.81,52,-0.0733309182,313,953,327,6.8591,4,7.5993883792,0.1259557344,2.9143730887,352400
