id, dayid, TMIN,TMAX, PRCP,numtrips
1,2,26,40,0,412630
2,3,22,33,0,393001
3,4,24,32,0,441233
4,5,30,37,0,478437
5,6,32,42,0,473804
6,7,34,46,0,403667
7,1,37,45,0,407363
8,2,35,48,0,441778
9,3,39,49,0,457471
10,4,40,47,0,487949
11,5,37,46,0.55,521398
12,6,42,47,0.02,507429
13,7,43,50,0,442541
14,1,38,56,0.09,443650
15,2,35,38,0.12,496899
16,3,32,37,0.69,500065
17,4,35,43,0,512533
18,5,25,35,0,543734
19,6,30,51,0,510530
20,7,30,53,0,459393
21,1,26,32,0,384614
22,2,13,27,0,496005
23,3,11,20,0,520520
24,4,12,22,0,533039
25,5,13,24,0.07,537188
26,6,15,27,0,557203
27,7,19,34,0,470833
28,1,29,36,0.22,450789
29,2,36,49,0.06,477380
30,3,39,59,0.04,482378
31,4,30,61,0.9,531161
32,5,24,31,0,567076
33,6,19,29,0.02,569777
34,7,24,30,0.02,472623
35,1,23,30,0,457093
36,2,28,32,0.02,482637
37,3,29,39,0,506443
38,4,26,32,0,535105
39,5,27,34,1.15,432643
40,6,21,32,0.38,392006
41,7,18,36,0,459612
42,1,34,45,0.49,458947
43,2,36,44,0,503963
44,3,33,44,0.03,524250
45,4,33,46,0,527476
46,5,37,55,0,537129
47,6,31,41,0.02,542291
48,7,18,32,0,506209
49,1,17,35,0,407104
50,2,33,49,0.15,456383
51,3,25,38,0,512507
52,4,24,34,0,538079
53,5,25,38,0,558738
54,6,36,42,0.26,584812
55,7,34,47,0.01,474783
56,1,32,45,0,451955
57,2,35,44,0.14,496612
58,3,36,47,1.56,509033
59,4,39,51,0,524890
60,5,36,45,0,564492
61,6,31,40,0,584654
62,7,29,40,0,493312
63,1,27,42,0,466591
64,2,31,49,0,493815
65,3,38,42,0,518309
66,4,33,38,0.19,538316
67,5,31,42,0.54,545587
68,6,35,55,0,562200
69,7,36,50,0,468337
70,1,40,54,0,451483
71,2,43,57,0.79,494922
72,3,38,52,0,514843
73,4,29,41,0,552660
74,5,30,47,0,559360
75,6,32,41,0.12,574056
76,7,29,38,0,493734
77,1,28,35,0.65,458062
78,2,33,43,0.36,477028
79,3,32,45,0,493779
80,4,30,40,0,505003
81,5,28,41,0,548247
82,6,32,46,0,553332
83,7,33,47,0,468001
84,1,36,40,0.17,438928
85,2,37,53,0,460401
86,3,36,53,0,486853
87,4,37,51,0,512225
88,5,40,55,0,519004
89,6,40,59,0,504537
90,7,44,54,0.08,447157
91,1,37,62,0,428997
92,2,33,43,0,495549
93,3,33,46,0,513864
94,4,33,53,0,532590
95,5,41,64,0,554436
96,6,35,52,0,533177
97,7,40,55,0,461165
98,1,51,73,0,440520
99,2,51,82,0,477161
100,3,55,74,0.49,503211
101,4,47,60,0,525206
102,5,41,47,0.63,564860
103,6,41,58,0.01,555218
104,7,46,57,0,485706
105,1,44,59,0,461076
